win_ratio,total_accuracy,kill_to_death_ratio,total_wins_per_hour,mvp_per_round,total_headshots_per_round,accuracy_ssg08,accuracy_awp,accuracy_deagle,accuracy_aug,accuracy_scar20,accuracy_m4a1,accuracy_ak47,accuracy_bizon,accuracy_elite,accuracy_famas,accuracy_fiveseven,accuracy_g3sg1,accuracy_galilar,accuracy_glock,accuracy_hkp2000,accuracy_m249,accuracy_mac10,accuracy_mag7,accuracy_mp7,accuracy_mp9,accuracy_negev,accuracy_nova,accuracy_p250,accuracy_p90,accuracy_sawedoff,accuracy_sg556,accuracy_tec9,accuracy_ump45,accuracy_xm1014,total_games_owned,VACBanned
0.51,0.16,1.19,22.48,0.12,1.18,0.24,0.38,0.23,0.22,0.18,0.17,0.15,0.18,0.33,0.12,0.14,,0.11,0.2,0.16,0.37,0.29,,0.1,,0.29,0.22,0.17,0.25,,0.06,,0.14,,9,1
0.54,0.15,1.23,25.58,0.13,0.51,0.16,0.36,0.13,0.16,0.28,0.15,0.13,0.18,0.12,0.12,0.12,0.21,0.11,0.16,0.16,0.17,0.23,0.38,0.21,,0.07,0.12,0.12,0.13,,0.26,,0.11,,20,1
0.61,0.17,1.98,22.66,0.24,0.74,0.31,0.42,0.18,0.21,0.28,0.14,0.13,0.22,0.2,0.13,0.19,0.14,0.14,0.2,0.24,0.07,0.28,,0.21,,0.08,0.19,0.21,0.13,0.02,0.21,0.26,0.13,0.19,18,1
0.53,0.17,0.73,20.93,0.12,0.38,0.38,0.24,0.19,0.15,0.09,0.14,0.15,0.17,0.22,0.18,0.17,0.15,0.16,0.19,0.2,0.14,0.18,0.28,0.15,0.24,0.18,0.32,0.14,0.16,0.18,0.14,0.2,0.16,0.08,19,1
0.53,0.17,1.23,39.33,0.12,0.44,0.35,0.39,0.21,0.28,0.2,0.2,0.15,0.18,0.15,0.2,0.24,0.18,0.22,0.14,0.16,0.19,0.29,0.19,0.27,0.28,0.09,0.18,0.16,0.21,0.12,0.22,0.18,0.16,0.27,76,1
0.5,0.15,0.93,21.86,0.09,0.59,0.14,0.27,0.2,0.09,0.08,0.15,0.15,0.09,0.14,0.17,0.17,0.07,0.11,0.13,0.18,0.04,0.15,0.14,0.16,0.16,0.03,0.12,0.17,0.13,0.06,0.1,0.08,0.12,0.12,16,1
0.47,0.17,0.69,9.07,0.08,1.54,0.24,0.36,0.22,0.23,0.24,0.18,0.13,0.2,0.15,0.17,0.21,0.18,0.18,0.18,0.21,0.12,0.2,0.15,0.19,0.16,0.08,0.18,0.3,0.17,0.16,0.19,0.21,0.18,0.15,93,1
0.54,0.15,1.36,28.25,0.15,0.49,0.52,0.41,0.21,0.16,0.17,0.15,0.15,0.15,0.13,0.11,0.5,0.13,0.15,0.12,0.17,0.04,0.11,0.14,0.12,0.13,0.07,0.11,0.38,0.12,0.08,0.23,0.22,0.12,0.25,10,1
0.48,0.17,1.01,22.69,0.09,0.25,0.31,0.34,0.19,0.18,0.18,0.2,0.16,0.15,0.11,0.18,0.17,0.19,0.14,0.18,0.2,0.06,0.16,0.2,0.15,0.16,0.07,0.15,0.21,0.15,0.12,0.16,0.12,0.15,0.17,23,1
0.51,0.19,1.22,21.17,0.13,0.34,0.34,0.38,0.21,0.2,0.26,0.19,0.16,0.2,0.19,0.21,0.18,0.22,0.17,0.16,0.21,0.03,0.25,0.2,0.19,0.23,0.06,0.2,0.22,0.2,0.19,0.18,0.13,0.19,0.2,118,1
0.41,0.13,0.6,10.13,0.04,0.67,0.12,0.33,0.16,0.2,0.18,0.13,0.13,0.17,0.18,0.13,0.13,0.15,0.14,0.15,0.15,0.07,0.14,0.09,0.15,0.13,0.07,0.16,0.15,0.14,0.12,0.14,0.12,0.12,0.15,28,1
0.52,0.17,1.37,24.98,0.12,0.46,0.27,0.36,0.16,0.16,0.2,0.18,0.15,0.14,0.22,0.36,0.26,0.18,0.14,0.16,0.19,0.14,0.21,0.21,0.23,0.2,0.28,0.16,0.19,0.14,0.16,0.14,0.19,0.14,0.19,23,1
0.6,0.23,1.1,24.39,0.22,0.64,0.47,0.39,0.37,0.11,0.41,0.24,0.2,0.23,0.32,0.25,0.23,0.5,0.23,0.27,0.26,0.05,0.17,0.35,,,0.68,0.28,0.27,0.2,,0.27,0.11,0.12,0.2,9,1
0.56,0.14,1.26,26.39,0.16,0.57,0.36,0.36,0.15,0.25,0.14,0.15,0.13,0.18,0.21,0.15,0.2,0.11,0.14,0.15,0.16,0.08,0.26,0.23,0.17,0.17,0.05,0.22,0.16,0.13,0.19,0.21,0.22,0.16,0.17,20,1
0.46,0.17,1.12,22.49,0.1,0.24,0.32,0.36,0.22,0.15,0.18,0.17,0.16,0.15,0.17,0.17,0.23,0.14,0.14,0.18,0.21,0.09,0.26,0.19,0.22,0.21,0.04,0.2,0.21,0.14,0.12,0.16,0.21,0.19,0.17,47,1
0.48,0.2,1.09,22.66,0.11,0.39,0.34,0.35,0.19,0.19,0.36,0.21,0.19,0.18,0.28,0.18,0.2,0.09,0.16,0.18,0.2,0.14,0.19,0.28,0.25,0.24,0.2,0.21,0.2,0.18,0.22,0.19,0.32,0.22,0.23,45,1
0.52,0.18,1.42,19.92,0.14,0.81,0.35,0.41,0.23,0.22,0.22,0.19,0.16,0.2,0.21,0.19,0.19,0.18,0.17,0.19,0.16,0.13,0.18,0.23,0.23,0.22,0.1,0.22,0.25,0.16,0.16,0.21,0.16,0.2,0.23,30,1
0.54,0.18,1.3,23.01,0.14,0.47,0.29,0.42,0.18,0.18,0.26,0.17,0.17,0.16,0.24,0.14,0.25,0.21,0.15,0.19,0.21,0.01,0.18,0.21,0.26,0.02,0.04,0.15,0.2,0.16,0.23,0.1,0.2,0.13,0.17,19,1
0.52,0.18,1.08,15.18,0.07,0.86,0.3,0.27,0.21,0.21,0.05,0.19,0.19,0.16,0.32,0.15,0.23,0.4,0.15,0.14,0.16,0.11,0.17,0.18,0.05,0.26,,0.22,0.31,0.2,0.15,0.17,0.1,0.16,0.16,35,1
0.51,0.19,0.92,9.42,0.1,0.55,0.44,0.37,0.25,0.19,0.22,0.17,0.15,0.28,0.24,0.19,0.24,0.27,0.2,0.22,0.19,0.17,0.17,0.18,0.17,0.25,0.12,0.25,0.38,0.23,0.2,0.2,0.33,0.19,0.24,16,1
